severity_kw,duration_min,threshold_type,abs_thr_g,affects,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings,scenario,threshold_value,fp_rate_per_production_hour,threshold_pct,sigma_k
0.0,0.0,absolute,75.0,,244,,,,,,,0,no_anomaly,75.0,0.0,,
0.0,0.0,absolute,75.0,,245,,,,,,,0,no_anomaly,75.0,0.0,,
0.0,0.0,absolute,75.0,,246,,,,,,,0,no_anomaly,75.0,0.0,,
0.0,0.0,absolute,75.0,,247,,,,,,,0,no_anomaly,75.0,0.0,,
0.0,0.0,absolute,75.0,,248,,,,,,,0,no_anomaly,75.0,0.0,,
0.0,0.0,absolute,75.0,,249,,,,,,,0,no_anomaly,75.0,0.0,,
1.5,240.0,relative,,machine,42,True,13.0,True,19.0,machine,True,1,with_anomaly,5.0,,5.0,
1.5,240.0,relative,,machine,43,True,5.0,True,11.0,machine,True,5,with_anomaly,5.0,,5.0,
1.5,240.0,relative,,machine,44,True,7.0,True,13.0,machine,True,6,with_anomaly,5.0,,5.0,
1.5,240.0,relative,,machine,45,True,21.0,True,27.0,machine,True,3,with_anomaly,5.0,,5.0,
1.5,240.0,relative,,machine,46,True,5.0,True,11.0,machine,True,2,with_anomaly,5.0,,5.0,
1.5,240.0,relative,,machine,47,True,21.0,True,27.0,machine,True,2,with_anomaly,5.0,,5.0,
1.5,240.0,relative,,machine,48,True,2.0,True,8.0,machine,True,2,with_anomaly,5.0,,5.0,
1.5,240.0,relative,,machine,49,True,6.0,True,12.0,machine,True,4,with_anomaly,5.0,,5.0,
0.0,0.0,relative,,,242,,,,,,,7,no_anomaly,5.0,0.5698778833107191,5.0,
0.0,0.0,relative,,,243,,,,,,,4,no_anomaly,5.0,0.3399433427762039,5.0,
0.0,0.0,relative,,,244,,,,,,,6,no_anomaly,5.0,0.5,5.0,
0.0,0.0,relative,,,245,,,,,,,7,no_anomaly,5.0,0.5412371134020618,5.0,
0.0,0.0,relative,,,246,,,,,,,6,no_anomaly,5.0,0.47120418848167545,5.0,
0.0,0.0,relative,,,247,,,,,,,1,no_anomaly,5.0,0.08583690987124463,5.0,
0.0,0.0,relative,,,248,,,,,,,4,no_anomaly,5.0,0.321285140562249,5.0,
0.0,0.0,relative,,,249,,,,,,,4,no_anomaly,5.0,0.3278688524590164,5.0,
1.5,240.0,relative,,machine,42,True,13.0,True,19.0,machine,True,1,with_anomaly,7.0,,7.0,
1.5,240.0,relative,,machine,43,True,7.0,True,13.0,machine,True,3,with_anomaly,7.0,,7.0,
1.5,240.0,relative,,machine,44,True,8.0,True,14.0,machine,True,5,with_anomaly,7.0,,7.0,
1.5,240.0,relative,,machine,45,True,21.0,True,27.0,machine,True,1,with_anomaly,7.0,,7.0,
1.5,240.0,relative,,machine,46,True,5.0,True,11.0,machine,True,2,with_anomaly,7.0,,7.0,
1.5,240.0,relative,,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,7.0,,7.0,
1.5,240.0,relative,,machine,48,True,3.0,True,9.0,machine,True,1,with_anomaly,7.0,,7.0,
1.5,240.0,relative,,machine,49,True,7.0,True,13.0,machine,True,1,with_anomaly,7.0,,7.0,
0.0,0.0,relative,,,242,,,,,,,3,no_anomaly,7.0,0.24423337856173677,7.0,
0.0,0.0,relative,,,243,,,,,,,1,no_anomaly,7.0,0.08498583569405098,7.0,
0.0,0.0,relative,,,244,,,,,,,3,no_anomaly,7.0,0.25,7.0,
0.0,0.0,relative,,,245,,,,,,,6,no_anomaly,7.0,0.4639175257731959,7.0,
0.0,0.0,relative,,,246,,,,,,,4,no_anomaly,7.0,0.31413612565445026,7.0,
0.0,0.0,relative,,,247,,,,,,,1,no_anomaly,7.0,0.08583690987124463,7.0,
0.0,0.0,relative,,,248,,,,,,,2,no_anomaly,7.0,0.1606425702811245,7.0,
0.0,0.0,relative,,,249,,,,,,,2,no_anomaly,7.0,0.1639344262295082,7.0,
1.5,240.0,relative,,machine,42,True,13.0,True,19.0,machine,True,1,with_anomaly,10.0,,10.0,
1.5,240.0,relative,,machine,43,True,10.0,True,16.0,machine,True,2,with_anomaly,10.0,,10.0,
1.5,240.0,relative,,machine,44,True,10.0,True,16.0,machine,True,4,with_anomaly,10.0,,10.0,
1.5,240.0,relative,,machine,45,True,21.0,True,27.0,machine,True,0,with_anomaly,10.0,,10.0,
1.5,240.0,relative,,machine,46,True,6.0,True,12.0,machine,True,2,with_anomaly,10.0,,10.0,
1.5,240.0,relative,,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,10.0,,10.0,
1.5,240.0,relative,,machine,48,True,3.0,True,9.0,machine,True,0,with_anomaly,10.0,,10.0,
1.5,240.0,relative,,machine,49,True,8.0,True,14.0,machine,True,0,with_anomaly,10.0,,10.0,
0.0,0.0,relative,,,242,,,,,,,2,no_anomaly,10.0,0.1628222523744912,10.0,
0.0,0.0,relative,,,243,,,,,,,0,no_anomaly,10.0,0.0,10.0,
0.0,0.0,relative,,,244,,,,,,,3,no_anomaly,10.0,0.25,10.0,
0.0,0.0,relative,,,245,,,,,,,2,no_anomaly,10.0,0.15463917525773196,10.0,
0.0,0.0,relative,,,246,,,,,,,0,no_anomaly,10.0,0.0,10.0,
