severity_kw,duration_min,affects,profile,ramp_s,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings
3.0,240,spindle,ramp,600,47,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,600,48,True,11.0,True,17.0,spindle,True,0
3.0,240,spindle,ramp,600,49,True,13.0,True,19.0,spindle,True,0
3.0,240,spindle,ramp,600,50,True,10.0,True,16.0,spindle,True,0
3.0,240,spindle,ramp,600,51,True,13.0,True,19.0,spindle,True,0
4.0,240,spindle,ramp,600,42,True,13.0,True,19.0,spindle,True,0
4.0,240,spindle,ramp,600,43,True,12.0,True,18.0,spindle,True,0
4.0,240,spindle,ramp,600,44,True,12.0,True,18.0,spindle,True,0
4.0,240,spindle,ramp,600,45,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,600,46,True,8.0,True,14.0,spindle,True,0
4.0,240,spindle,ramp,600,47,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,600,48,True,10.0,True,16.0,spindle,True,0
4.0,240,spindle,ramp,600,49,True,12.0,True,18.0,spindle,True,0
4.0,240,spindle,ramp,600,50,True,10.0,True,16.0,spindle,True,0
4.0,240,spindle,ramp,600,51,True,11.0,True,17.0,spindle,True,0
1.0,240,spindle,ramp,1080,42,False,,False,,,,0
1.0,240,spindle,ramp,1080,43,False,,False,,,,0
1.0,240,spindle,ramp,1080,44,False,,False,,,,0
1.0,240,spindle,ramp,1080,45,False,,False,,,,0
1.0,240,spindle,ramp,1080,46,False,,False,,,,0
1.0,240,spindle,ramp,1080,47,True,21.0,False,,spindle,True,0
1.0,240,spindle,ramp,1080,48,False,,False,,,,0
1.0,240,spindle,ramp,1080,49,False,,False,,,,0
1.0,240,spindle,ramp,1080,50,False,,False,,,,0
1.0,240,spindle,ramp,1080,51,False,,False,,,,0
1.5,240,spindle,ramp,1080,42,True,20.0,False,,spindle,True,0
1.5,240,spindle,ramp,1080,43,False,,False,,,,0
1.5,240,spindle,ramp,1080,44,True,31.0,False,,spindle,True,0
1.5,240,spindle,ramp,1080,45,True,21.0,False,,spindle,True,0
1.5,240,spindle,ramp,1080,46,True,25.0,False,,spindle,True,0
1.5,240,spindle,ramp,1080,47,True,21.0,True,27.0,spindle,True,0
